2026-08-13 14:04:06,142 INFO Forward 3-year RAPM-prior baseline: fitted 2011-12; lambda=0.1; prior_players=593; fitted_players=478
2026-08-13 14:04:09,441 INFO Forward 3-year RAPM-prior baseline: fitted 2012-13; lambda=0.03; prior_players=611; fitted_players=469
2026-08-13 14:04:12,657 INFO Forward 3-year RAPM-prior baseline: fitted 2013-14; lambda=0.1; prior_players=635; fitted_players=482
2026-08-13 14:04:15,969 INFO Forward 3-year RAPM-prior baseline: fitted 2014-15; lambda=0.1; prior_players=657; fitted_players=492
2026-08-13 14:04:19,117 INFO Forward 3-year RAPM-prior baseline: fitted 2015-16; lambda=0.03; prior_players=654; fitted_players=476
2026-08-13 14:04:22,493 INFO Forward 3-year RAPM-prior baseline: fitted 2016-17; lambda=0.1; prior_players=655; fitted_players=486
2026-08-13 14:04:25,848 INFO Forward 3-year RAPM-prior baseline: fitted 2017-18; lambda=0.03; prior_players=665; fitted_players=539
2026-08-13 14:04:29,959 INFO Forward 3-year RAPM-prior baseline: fitted 2018-19; lambda=0.1; prior_players=713; fitted_players=530
2026-08-13 14:04:32,773 INFO Forward 3-year RAPM-prior baseline: fitted 2019-20; lambda=0.1; prior_players=744; fitted_players=529
2026-08-13 14:04:35,382 INFO Forward 3-year RAPM-prior baseline: fitted 2020-21; lambda=0.1; prior_players=778; fitted_players=540
2026-08-13 14:04:38,677 INFO Forward 3-year RAPM-prior baseline: fitted 2021-22; lambda=0.1; prior_players=756; fitted_players=605
2026-08-13 14:04:42,399 INFO Forward 3-year RAPM-prior baseline: fitted 2022-23; lambda=0.1; prior_players=775; fitted_players=538
2026-08-13 14:04:58,302 INFO Forward 3-year RAPM-prior baseline: fitted 2023-24; lambda=0.03; prior_players=783; fitted_players=571
2026-08-13 14:05:11,591 INFO Forward 3-year RAPM-prior baseline: fitted 2024-25; lambda=0.1; prior_players=817; fitted_players=567
2026-08-13 14:05:24,357 INFO Forward 3-year RAPM-prior baseline: fitted 2025-26; lambda=0.03; prior_players=768; fitted_players=582
Forward RAPM memory baselines: run=artifacts/models/forward_rapm_memory_prior_baselines/2023-24_to_2025-26/forward-rapm-memory-baselines-2023-24-to-2025-26-20260813T210525Z-190bfd3b; mlflow_run_id=d12a87126c3a41489f2f5cd96299006e
